Gli zeri della funzione x = tan(x) sono:

1)	0.00000 ± 0.00001   ∈   [0, 𝛑/2]
2)	4.49341 ± 0.00001   ∈   [𝛑, 3𝛑/2]
3)	7.72525 ± 0.00001   ∈   [2𝛑, 5𝛑/2]
4)	10.90412 ± 0.00001   ∈   [3𝛑, 7𝛑/2]
5)	14.06619 ± 0.00001   ∈   [4𝛑, 9𝛑/2]
6)	17.22075 ± 0.00001   ∈   [5𝛑, 11𝛑/2]
7)	20.37131 ± 0.00001   ∈   [6𝛑, 13𝛑/2]
8)	23.51945 ± 0.00001   ∈   [7𝛑, 15𝛑/2]
9)	26.66606 ± 0.00001   ∈   [8𝛑, 17𝛑/2]
10)	29.81160 ± 0.00001   ∈   [9𝛑, 19𝛑/2]
11)	32.95638 ± 0.00001   ∈   [10𝛑, 21𝛑/2]
12)	36.10063 ± 0.00001   ∈   [11𝛑, 23𝛑/2]
13)	39.24444 ± 0.00001   ∈   [12𝛑, 25𝛑/2]
14)	42.38791 ± 0.00001   ∈   [13𝛑, 27𝛑/2]
15)	45.53113 ± 0.00001   ∈   [14𝛑, 29𝛑/2]
16)	48.67414 ± 0.00001   ∈   [15𝛑, 31𝛑/2]
17)	51.81698 ± 0.00001   ∈   [16𝛑, 33𝛑/2]
18)	54.95967 ± 0.00001   ∈   [17𝛑, 35𝛑/2]
19)	58.10226 ± 0.00001   ∈   [18𝛑, 37𝛑/2]
20)	61.24473 ± 0.00001   ∈   [19𝛑, 39𝛑/2]
21)	64.38712 ± 0.00001   ∈   [20𝛑, 41𝛑/2]
