1)	2.00622
2)	2.00936
3)	1.98234
4)	1.99114
5)	2.02507
6)	2.04266
7)	2.01565
8)	1.96852
9)	2.01125
10)	1.98988
11)	2.00245
12)	2.02067
13)	1.98988
14)	2.00245
15)	2.01062
16)	2.02696
17)	2.01125
18)	2.00496
19)	1.97983
20)	1.99805
21)	1.99742
22)	1.99617
23)	1.99868
24)	1.98549
25)	2.06214
26)	1.98737
27)	1.99931
28)	1.96978
29)	1.95596
30)	2.01753
31)	1.97795
32)	2.05649
33)	1.99177
34)	1.99051
35)	1.96915
36)	2.01753
37)	1.99805
38)	2.00371
39)	2.02444
40)	2.01062
41)	2.00559
42)	2.03324
43)	1.99554
44)	1.99994
45)	1.99931
46)	1.99051
47)	1.96601
48)	1.98109
49)	1.99742
50)	1.96161
51)	2.03073
52)	2.0125
53)	1.97983
54)	2.02319
55)	1.97858
56)	1.988
57)	2.00371
58)	2.01376
59)	1.96538
60)	1.9836
61)	1.99994
62)	1.99617
63)	1.99491
64)	2.03827
65)	2.00748
66)	2.00496
67)	1.99868
68)	2.04204
69)	1.99303
70)	2.02507
71)	1.99805
72)	1.96161
73)	1.99051
74)	2.01565
75)	2.00999
76)	1.97481
77)	1.99805
78)	1.99742
79)	1.99617
80)	2.01439
81)	1.96664
82)	2.00936
83)	1.95973
84)	2.0169
85)	2.00622
86)	1.99051
87)	2.00119
88)	2.01816
89)	2.00496
90)	2.01627
91)	2.05397
92)	2.01188
93)	1.97669
94)	2.01627
95)	2.03575
96)	1.99491
97)	1.99994
98)	1.99931
99)	2.03135
100)	1.98234
101)	2.00748
102)	1.97543
103)	2.01439
104)	2.00119
105)	2.01942
106)	2.02696
107)	1.988
108)	2.04392
109)	1.97858
110)	2.00873
111)	2.02884
112)	2.01753
113)	2.00057
114)	1.99994
115)	2.03135
116)	1.97543
117)	2.02381
118)	1.99742
119)	1.95784
120)	1.9968
121)	1.98486
122)	2.0301
123)	1.9968
124)	2.02947
125)	2.02884
126)	1.98926
127)	1.97983
128)	2.00811
129)	1.99742
130)	2.01753
131)	2.01439
132)	1.99617
133)	1.99805
134)	2.00182
135)	2.01125
136)	1.98926
137)	2.00057
138)	2.01627
139)	1.99365
140)	1.99805
141)	1.99805
142)	1.95596
143)	1.988
144)	2.00119
145)	1.99491
146)	2.01188
147)	1.99994
148)	2.04204
149)	1.99868
150)	1.98234
151)	1.98423
152)	2.00434
153)	1.97858
154)	1.97418
155)	1.9792
156)	1.99365
157)	2.03324
158)	2.00999
159)	1.98611
160)	2.0257
161)	1.97858
162)	2.02633
163)	1.97041
164)	1.98234
165)	2.00496
166)	1.99051
167)	1.95973
168)	2.01439
169)	2.00622
170)	1.98988
171)	2.00308
172)	2.01942
173)	2.02193
174)	2.00811
175)	2.02507
176)	1.99554
177)	1.98926
178)	2.00308
179)	2.00182
180)	2.01502
181)	1.99554
182)	2.00057
183)	2.02696
184)	2.00622
185)	1.96789
186)	1.99617
187)	2.00748
188)	1.99051
189)	2.00622
190)	2.01188
191)	2.00685
192)	1.99742
193)	1.97669
194)	1.97355
195)	2.01879
196)	2.02381
197)	1.99994
198)	2.00182
199)	2.03324
200)	2.00245
201)	2.03261
202)	1.94904
203)	1.97795
204)	1.96035
205)	2.00748
206)	2.0301
207)	2.01188
208)	1.99554
209)	2.03701
210)	1.98109
211)	2.00245
212)	2.00936
213)	1.97669
214)	2.04078
215)	2.03198
216)	1.98926
217)	1.9547
218)	2.01942
219)	2.00999
220)	2.00496
221)	1.97606
222)	1.99491
223)	1.97292
224)	2.00434
225)	1.98988
226)	2.01188
227)	2.02821
228)	2.02193
229)	2.01942
230)	2.02884
231)	1.99742
232)	1.99051
233)	1.97418
234)	1.98674
235)	2.02004
236)	2.00873
237)	2.01125
238)	2.00999
239)	1.96412
240)	1.99051
241)	1.97858
242)	2.01879
243)	1.98674
244)	1.99868
245)	1.99554
246)	1.97104
247)	2.03889
248)	1.95658
249)	2.01062
250)	2.01313
251)	2.00811
252)	1.99365
253)	1.99365
254)	1.97481
255)	2.02004
256)	1.98863
257)	2.00811
258)	1.99428
259)	2.01062
260)	2.00496
261)	2.00182
262)	2.01125
263)	1.9968
264)	1.99994
265)	2.00119
266)	1.98549
267)	2.03261
268)	1.99051
269)	1.97795
270)	1.99177
271)	2.00873
272)	2.01753
273)	1.99805
274)	1.99491
275)	1.97858
276)	1.97795
277)	1.988
278)	2.02507
279)	2.02758
280)	2.01502
281)	1.97041
282)	1.99177
283)	1.98988
284)	1.9924
285)	1.99303
286)	1.99868
287)	1.97166
288)	1.99051
289)	1.9924
290)	2.02507
291)	1.96852
292)	2.01062
293)	1.9836
294)	1.99491
295)	2.01879
296)	1.99805
297)	2.00999
298)	1.99805
299)	2.01565
300)	2.00748
301)	2.04769
302)	2.01125
303)	2.02633
304)	1.97543
305)	2.00559
306)	2.01753
307)	2.01627
308)	1.99051
309)	1.97732
310)	2.00999
311)	2.02758
312)	2.04958
313)	2.00999
314)	2.01816
315)	2.00685
316)	2.04204
317)	1.97292
318)	1.9968
319)	1.97041
320)	2.02758
321)	2.00182
322)	2.01062
323)	1.9792
324)	2.01816
325)	1.99365
326)	2.00057
327)	2.00245
328)	1.97355
329)	2.01125
330)	2.01125
331)	1.9792
332)	1.98486
333)	2.01627
334)	1.99554
335)	2.01125
336)	2.0125
337)	1.96475
338)	2.01879
339)	1.99491
340)	1.95658
341)	2.04266
342)	2.00182
343)	2.01879
344)	2.0213
345)	1.98737
346)	1.97104
347)	1.99177
348)	2.00245
349)	2.00811
350)	1.99177
351)	1.98046
352)	2.01502
353)	1.9547
354)	1.99365
355)	1.98172
356)	2.00999
357)	1.97104
358)	1.9924
359)	2.01753
360)	1.99365
361)	2.02193
362)	1.99868
363)	2.02507
364)	2.00873
365)	2.00999
366)	1.99491
367)	2.00999
368)	2.02633
369)	2.00057
370)	2.00245
371)	2.03261
372)	2.01816
373)	2.00936
374)	2.00119
